date,https://pc.moppy.jp/ad/detail.php?site_id=149052&track_ref=sea,https://pc.moppy.jp/ad/detail.php?site_id=102162&track_ref=car,https://pc.moppy.jp/ad/detail.php?site_id=119456&track_ref=sea,https://pc.moppy.jp/ad/detail.php?site_id=144526&track_ref=car,https://pc.moppy.jp/ad/detail.php?site_id=140425&track_ref=sea,https://pc.moppy.jp/ad/detail.php?site_id=111069&track_ref=sea,https://pc.moppy.jp/ad/detail.php?site_id=149995
2024-07-06,3000,8000,1500,12000,1500,2000,8000
2024-07-07,3500,7000,1800,11000,1500,3500,700
